Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C5, C6, C7",0402,6,0.1u,
"C10, C2",0805,2,22u,
C11,0603,1,10u,
"C12, C13",0402,2,1u,
C8,0402,1,4.7u,
C9,CP_Radial_D5.0mm_P2.50mm,1,220u,
"D1, D10, D11, D2, D9",0603,5,LED,
"D3, D4, D5, D6, D7",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,5,WS2812B,
D8,SS2040FL,1,D,
IC1,SOIC127P600X175-8N,1,TJA1441AT_0Z,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J2,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,SPI1,
J3,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,SPI2,
J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,I2C1,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,I2C2,
"J6, J7",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,2,Conn_01x04,
"J8, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
MD1,MURATA_OKL-T-6-W12N-C_0,1,OKL-T/6-W12N-C,OKL-T/6-W12N-C
"Q1, Q2",SOT-23,2,BSS138,
"R1, R17",0603,2,10k,
R14,0603,1,120,
R15,0603,1,20k,
R16,0603,1,1.2k,
"R18, R19, R20, R3, R4",0603,5,R,
"R5, R6",0603,2,4.7k,
RV1,TSR-3296,1,20k,
SW1,SKRPABE010,1,EN0,
SW2,SKRPABE010,1,BOOT0,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
U2,SSOP-28_5.3x10.2mm_P0.65mm,1,FT232RL,
U3,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,XT60PW-M,
U4,SOT230P700X180-4N,1,ADP3338AKCZ-3.3,ADP3338AKCZ-3.3
"U5, U6, U7",AMASS_XT30U-M_1x02_P5.0mm_Vertical,3,XT30PW-M,
